ticker,price,price_date,updated_at_utc,updated_at_madrid,market_status,confirmed_close,confirmed_close_date,change_from_close,change_from_close_percent
WELL,232.259995,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,232.259995,2026-09-17,0.0,0.0
WFC,86.889999,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,86.889999,2026-09-17,0.0,0.0
WM,213.330002,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,213.330002,2026-09-17,0.0,0.0
WMB,71.809998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,71.809998,2026-09-17,0.0,0.0
WMT,106.790001,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,106.790001,2026-09-17,0.0,0.0
WPM,152.199997,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,152.199997,2026-09-17,0.0,0.0
WY,21.66,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,21.66,2026-09-17,0.0,0.0
XBI,158.25,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,158.25,2026-09-17,0.0,0.0
XEL,73.629997,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,73.629997,2026-09-17,0.0,0.0
XLB,50.709999,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,50.709999,2026-09-17,0.0,0.0
XLC,112.349998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,112.349998,2026-09-17,0.0,0.0
XLE,64.480003,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,64.480003,2026-09-17,0.0,0.0
XLF,55.880001,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,55.880001,2026-09-17,0.0,0.0
XLI,169.009995,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,169.009995,2026-09-17,0.0,0.0
XLK,188.059998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,188.059998,2026-09-17,0.0,0.0
XLP,83.489998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,83.489998,2026-09-17,0.0,0.0
XLRE,42.939999,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,42.939999,2026-09-17,0.0,0.0
XLU,41.689999,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,41.689999,2026-09-17,0.0,0.0
XLV,168.809998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,168.809998,2026-09-17,0.0,0.0
XLY,111.389999,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,111.389999,2026-09-17,0.0,0.0
XME,111.32,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,111.32,2026-09-17,0.0,0.0
XOM,163.270004,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,163.270004,2026-09-17,0.0,0.0
XSD,499.269989,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,499.269989,2026-09-17,0.0,0.0
ZTS,73.019997,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,73.019997,2026-09-17,0.0,0.0
